lagoslakeid,LakeID
1498,L1978
1784,L1979
1356,L1980
2579,L1981
663,L1982
3932,L1983
3306,L1985
3172,L1987
985,L1988
3460,L1989
2547,L1991
2706,L1992
53,L1993
2049,L1994
7216,L1995
4808,L1996
2333,L1997
6570,L1998
4079,L2000
2407,L2001
6400,L2002
6554,L2004
5336,L2006
1523,L2008
7123,L2011
5550,L2013
6947,L2014
3319,L2015
2159,L2017
6526,L2018
14385,L2019
1541,L2021
1711,L2022
3825,L2023
7374,L2024
1311,L2025
2279,L2027
2207,L2029
6933,L2030
1184,L2032
2749,L2034
2216,L2035
2296,L2036
3695,L2037
2277,L2038
716,L2039
1654,L2040
2950,L2041
4867,L2042
7319,L2043
7167,L2044
3203,L2045
1233,L2046
4057,L2046
1125,L2047
2647,L2048
1261,L2050
2721,L2053
7370,L2055
7384,L2056
1201,L2058
2782,L2060
903,L2062
7179,L2063
4003,L2064
1578,L2065
1320,L2066
1182,L2067
4183,L2068
3102,L2069
1145,L2070
2937,L2071
6507,L2073
2106,L2074
3365,L2075
6496,L2076
2663,L2078
4351,L2079
603,L2080
4542,L2082
7346,L2084
1005,L2087
1319,L2087
3351,L2088
5496,L2089
1191,L2090
6545,L2091
7379,L2091
4863,L2092
7399,L2093
3845,L2094
1791,L2095
1913,L2097
3131,L2098
3853,L2101
6856,L2102
860,L2103
4074,L2103
7035,L2104
1348,L2105
6779,L2106
3182,L2107
55,L2108
2931,L2110
6625,L2112
6975,L2112
3022,L2113
7376,L2116
3708,L2117
3906,L2118
3649,L2119
4146,L2120
1177,L2122
1700,L2123
819,L2124
2611,L2125
3263,L2126
4060,L2127
1483,L2128
728,L2129
3221,L2130
6945,L2131
4222,L2132
3464,L2133
4037,L2134
68485,L2135
6510,L2137
1961,L2138
3157,L2139
1704,L2140
3828,L2142
633,L2143
6764,L2146
1216,L2147
2808,L2147
1369,L2149
521,L2150
873,L2150
654,L2151
7172,L2152
1303,L2153
3847,L2153
1210,L2154
1450,L2155
7350,L2157
2634,L2158
4043,L2158
582,L2159
7331,L2160
721,L2161
2845,L2163
7270,L2164
2820,L2166
1643,L2167
2031,L2168
7272,L2170
6938,L2172
4100,L2173
7378,L2174
7790,L2177
7788,L2178
4933,L2181
4180,L2183
8278,L2184
6855,L2185
8365,L2186
7201,L2187
774,L2188
1437,L2189
7785,L2190
6485,L2192
7288,L2193
3329,L2194
7120,L2196
72641,L2197
6491,L2198
7595,L2199
6674,L2201
6867,L2202
7286,L2203
24842,L2204
6724,L2205
3733,L2207
6722,L2208
6792,L2209
4606,L2210
4967,L2211
760,L2212
3838,L2214
6512,L2215
1712,L2216
6484,L2217
6927,L2218
6902,L2220
871,L2224
8309,L2226
8258,L2227
8290,L2229
6942,L2231
7435,L2233
7966,L2234
1904,L2236
6675,L2239
7540,L2243
7648,L2244
4186,L2245
3146,L2247
7963,L2248
7812,L2249
7959,L2250
7970,L2251
4396,L2253
6809,L2254
4028,L2255
3403,L2256
2724,L2258
4179,L2259
2779,L2260
3979,L2260
1173,L2261
7122,L2262
3112,L2264
3749,L2266
6849,L2267
5575,L2268
1850,L2269
7180,L2270
7362,L2271
3752,L2272
66,L2273
529,L2273
593,L2273
3803,L2275
879,L2276
1773,L2276
7415,L2277
611,L2278
679,L2279
8086,L2280
2023,L2281
3620,L2282
3232,L2283
1674,L2284
681,L2285
7814,L2286
139273,L2287
520,L2288
6915,L2289
3911,L2290
4220,L2291
6535,L2292
944,L2294
1051,L2295
2856,L2296
4473,L2297
7695,L2298
3248,L2300
890,L2301
6755,L2302
7324,L2303
6583,L2304
1837,L2305
850,L2306
576,L2308
6916,L2309
6421,L2310
8312,L2312
1999,L2314
1192,L2315
2531,L2315
3841,L2316
6504,L2317
1301,L2318
3887,L2319
7407,L2320
2740,L2321
6641,L2322
4137,L2323
5167,L2324
6786,L2325
619,L2326
1351,L2327
6531,L2328
3559,L2329
639,L2330
645,L2331
1735,L2332
2133,L2336
1633,L2337
6795,L2338
4899,L2339
69496,L2356
7440,L2358
4106,L2360
2200,L2362
6906,L2363
7134,L2365
5186,L2368
2509,L2370
7083,L2372
8077,L2373
6885,L2374
986,L2377
6450,L2377
6781,L2379
8281,L2380
2800,L2382
3207,L2383
16,L2384
3470,L2385
7832,L2388
2127,L2389
5160,L2391
3627,L2392
6733,L2393
4120,L2394
1966,L2395
2438,L2397
7245,L2399
8354,L2400
7170,L2401
2849,L2403
1376,L2404
6551,L2405
1086,L2407
5068,L2408
7967,L2409
1600,L2411
1273,L2412
7162,L2413
2501,L2414
2928,L2414
3994,L2416
17,L2417
2833,L2418
32,L2419
4797,L2420
2859,L2422
2324,L2425
2642,L2427
22,L2428
2212,L2429
3199,L2430
6908,L2431
1658,L2432
1566,L2433
5584,L2434
6396,L2436
7078,L2437
3511,L2438
73621,L2440
6914,L2442
3009,L2443
5585,L2445
1536,L2447
655,L2448
3070,L2451
7813,L2452
5168,L2453
1380,L2454
13,L2455
70547,L2457
6578,L2458
7082,L2460
4816,L2461
2011,L2462
7174,L2464
7177,L2467
6825,L2468
3395,L2470
7140,L2473
6771,L2474
87513,L2475
7380,L2476
954,L2478
6738,L2480
3602,L2482
7185,L2483
57102,L2484
7163,L2485
7221,L2486
2494,L2488
7393,L2489
8307,L2490
3081,L2492
2569,L2493
124722,L2495
3294,L2496
3104,L2497
6775,L2498
2601,L2499
6698,L2500
6651,L2501
6582,L2502
7159,L2504
1433,L2505
3897,L2506
2957,L2507
895,L2509
6728,L2510
3553,L2511
4798,L2512
3340,L2513
7323,L2514
8276,L2515
8292,L2515
6489,L2516
6741,L2517
6742,L2518
57122,L2519
5233,L2520
1598,L2521
6500,L2522
2126,L2523
1579,L2525
7329,L2526
1225,L2527
7971,L2528
1499,L2529
7542,L2530
7544,L2531
7593,L2531
