LagosName,surfaceArea
LAGOS253,0.078153107
LAGOS254,0.191235455
LAGOS255,0.162540868
LAGOS256,0.143231418
LAGOS257,0.137656932
LAGOS258,0.094783918
LAGOS259,29.61897895
LAGOS260,12.74546815
LAGOS261,0.06580695
LAGOS262,0.06356996
LAGOS263,0.082303438
LAGOS264,0.243654635
LAGOS265,0.170383405
LAGOS266,0.153282364
LAGOS267,0.05975728
LAGOS268,0.037907207
LAGOS269,0.422924391
LAGOS270,0.051960204
LAGOS271,0.098421747
LAGOS272,0.126697801
LAGOS273,1.218519419
LAGOS274,0.055443128
LAGOS275,0.088015969
LAGOS277,0.046480224
LAGOS278,0.028549934
LAGOS279,0.902255387
LAGOS280,0.064431594
LAGOS281,0.089277013
LAGOS282,0.076425719
LAGOS283,0.085014853
LAGOS284,0.068178918
LAGOS285,0.205994624
LAGOS286,0.052463699
LAGOS287,0.024730602
LAGOS288,0.032582655
LAGOS289,0.032647145
LAGOS290,0.150756449
LAGOS291,0.886880058
LAGOS292,0.406840869
LAGOS293,0.081772978
LAGOS294,0.582591722
LAGOS295,5.024824359
LAGOS296,0.116119106
LAGOS297,0.049711018
LAGOS298,0.067785245
LAGOS299,1.349683031
LAGOS300,0.012022151
LAGOS301,0.145006212
LAGOS302,0.147502224
LAGOS303,0.046788851
LAGOS304,0.315673602
LAGOS305,0.854918344
LAGOS306,0.607720529
LAGOS307,0.191519019
LAGOS308,0.042035324
LAGOS309,4.152141639
LAGOS310,0.678424442
LAGOS311,0.075658041
LAGOS312,1.391005499
LAGOS313,0.188447134
LAGOS314,0.364735442
LAGOS315,6.418065383
LAGOS316,9.030327473
LAGOS317,3.631368358
LAGOS318,0.535052933
LAGOS319,0.025373526
LAGOS320,0.509341221
LAGOS321,0.162330705
LAGOS322,0.391532458
LAGOS323,0.067278416
LAGOS324,0.058942029
LAGOS325,0.079364649
LAGOS327,0.048069726
LAGOS328,1.892592352
LAGOS329,0.531247472
LAGOS330,0.127943904
LAGOS331,0.057484441
LAGOS332,0.059760744
LAGOS333,0.689179056
LAGOS334,4.704646332
LAGOS335,0.128938677
LAGOS336,0.154175011
LAGOS337,0.029914784
LAGOS338,0.357562499
LAGOS339,1.933072813
LAGOS340,0.041089074
LAGOS341,0.263293542
LAGOS342,0.165335593
LAGOS343,4.525708153
LAGOS344,0.039563616
LAGOS345,2.034857851
LAGOS346,0.053287045
LAGOS347,0.028700735
LAGOS348,0.069282261
LAGOS349,0.088795823
LAGOS350,0.143398431
LAGOS351,0.027770326
LAGOS352,1.081425239
LAGOS353,0.056067656
LAGOS354,0.622965651
LAGOS355,0.034804517
LAGOS356,0.261881256
LAGOS357,0.038216027
LAGOS358,0.231138968
LAGOS359,0.468748703
LAGOS360,0.407318879
LAGOS361,0.095489985
LAGOS362,0.285985193
LAGOS363,6.08689635
LAGOS364,2.649938239
LAGOS366,0.225744018
LAGOS367,0.0609172
LAGOS368,9.39355329
LAGOS369,0.440214415
LAGOS370,0.077738955
LAGOS371,0.153335585
LAGOS372,3.327108651
LAGOS373,0.055468963
LAGOS374,0.016511681
LAGOS375,0.275892461
LAGOS376,0.122890838
LAGOS377,0.355623927
LAGOS378,0.144864308
LAGOS379,0.04132881
LAGOS380,0.109819754
LAGOS381,6.400892671
LAGOS382,0.039712303
LAGOS383,0.104620565
LAGOS384,0.102996621
LAGOS385,0.398804307
LAGOS386,8.460147634
LAGOS387,0.123593937
LAGOS388,0.533622197
LAGOS389,0.168492611
LAGOS390,0.024766747
LAGOS392,0.048280645
LAGOS393,0.335985879
LAGOS394,0.320094727
LAGOS395,0.057876925
LAGOS396,0.365049358
LAGOS397,0.278247297
LAGOS398,0.428654661
