uniqueID,LakeVolume,SurfaceArea.units,SurfaceArea.value,Depth.mean,Depth.max,Secchi,pH,LakeName,LakeCountry
V100014791,,km2,3673,8,,,,Ta Lake,Ethiopia
V100014792,,km2,3673,8,,,8.15,Ta Lake,Ethiopia
V100014793,,km2,3673,8,,,8.1,Ta Lake,Ethiopia
V100014794,,km2,3673,8,,,7.8,Ta Lake,Ethiopia
V100014795,,km2,3673,8,,,8.61,Ta Lake,Ethiopia
V100014796,,km2,3673,8,,,8,Ta Lake,Ethiopia
V100014797,,km2,3673,8,,,7.66,Ta Lake,Ethiopia
V100014798,,km2,3673,8,,,7.8,Ta Lake,Ethiopia
V100014799,,km2,3673,8,,,8.01,Ta Lake,Ethiopia
V100014800,,km2,3673,8,,,7.82,Ta Lake,Ethiopia
V100014801,,km2,3673,8,,,,Ta Lake,Ethiopia
V100014802,,km2,3673,8,,,,Ta Lake,Ethiopia
V100014803,,,,,,,,Danjiangkou Reservoir,Chi
V100014804,,,,,,,,Danjiangkou Reservoir,Chi
V100014805,,,,,,,,Danjiangkou Reservoir,Chi
V100014806,,,,,,,,Danjiangkou Reservoir,Chi
V100014807,,km2,30.1,1.9,,0.1,8.9,Chascoms Lake,Argenti
V100014808,,,,6.4,,,7.81,ABU dam,Nigeria
V100014809,,,,2,,,7.75,Bomo lake,Nigeria
V100014810,,,,4,,,7.22,Makwaye lake,Nigeria
V100014811,,,,8.8,,,8.06,Zaria dam,Nigeria
V100014812,,,,8.8,,,7.62,Zaria dam,Nigeria
V100014813,,,,,,,,Tasik Bandaran Kela 1,Malaysia
V100014814,,,,,,,,Tasik Biru,Malaysia
V100014815,,,,,,,,Tasik Hulu Yam,Malaysia
V100014816,,,,,,,,Tasik Kuala Kubu 1,Malaysia
V100014817,,,,,,,,Tasik Metropolitan Kepong,Malaysia
V100014818,,,,,,,,Tasik Sentosa,Malaysia
V100014819,,km2,0.46,3.6,9,,8.06,Malom-Tisza oxbow,
V100014820,,km2,4.52,5.78,10.4,4.32,8.248888889,Cedar Lake,USA
V100014821,,km2,4.52,5.78,10.4,3.375,8.392,Cedar Lake,USA
V100014822,,km2,4.52,5.78,10.4,2.405,8.759166667,Cedar Lake,USA
V100014823,,km2,4.52,5.78,10.4,2.8975,8.116944444,Cedar Lake,USA
V100014824,,km2,4.52,5.78,10.4,1.1,8.414722222,Cedar Lake,USA
V100014825,,km2,4.52,5.78,10.4,1.45,8.404117647,Cedar Lake,USA
V100014826,,,,,,,,Lake Ontario,Canada
V100014827,,,,,,,,Lake Ontario,Canada
V100014828,,,,,,,,Lake Ontario,Canada
V100014829,,,,,,,,Lake Ontario,Canada
V100014830,,,,,,,,Lake Ontario,Canada
V100014831,,,,,,,,Lake Ontario,Canada
V100014832,,km2,5,4.2,,,,Eagle Creek Reservoir,USA
V100014833,,km2,7.5,3.2,,,,Geisr Reservoir,USA
V100014834,,km2,6,4.7,,,,Morse Reservoir,USA
V100014835,,km2,462,,,,8.005,Al-Habbaniyah Lake,Iraq
V100014836,,km2,1.564,1.4,2.9,,,Lake Dolgie Wielkie,Poland 
V100014837,,,,,,,,Mark Twain Lake ,USA
V100014838,,,,,,,,Mark Twain Lake ,USA
V100014839,,,,,,,,Mark Twain Lake ,USA
V100014840,,,,,,,,Mark Twain Lake ,USA
V100014841,,,,,,,,Mark Twain Lake ,USA
V100014842,,,,,,,,Ca Brava,Brazil
V100014843,,,,,,,,Cachoeira Dourada,Brazil
V100014844,,,,,,,,Castelhano,Brazil
V100014845,,,,,,,,Corumb,Brazil
V100014846,,,,,,,,Rochedo,Brazil
V100014847,,,,,,,,S?ù®o Patricio,Brazil
V100014848,,,,,,,,S?ù®o Sim?ù®o,Brazil
V100014849,,,,,,,,Sao Bento,Brazil
V100014850,,,,,,,,Sao Domingos,Brazil
V100014851,,,,,,,,Serra da Mesa,Brazil
V100014852,,km2,0.746,0.9,,,,University Lake,USA
V100014853,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014854,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014855,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014856,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014857,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014858,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014859,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014860,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014861,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014862,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014863,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014864,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014865,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
