uniqueID,StudyID,Year,Month,Lat,Lon,StudyLakeName,LakeCountry,Hydrolakes,GoogleName,UniqueLakeName,DataType
V100015593,53,2016,8,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015594,53,2016,9,26.6319444,106.4991667,Baihua Lake Reservoir,Chi,NA,NA,Lake1367,surveyed
V100015572,54,2013,1,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015573,54,2013,2,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015574,54,2013,3,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015575,54,2013,4,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015576,54,2013,5,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015577,54,2013,6,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015578,54,2013,7,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015579,54,2013,8,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015580,54,2013,9,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015581,54,2013,10,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015582,54,2013,11,41.8134794,26.9250644,S?ù®lo?lu Reservoir,Turkey,H0172288,NA,Lake5651,surveyed
V100015571,55,2016,,38.8927778,116.0180556,Baiyangdian Lake,Chi,NA,NA,Lake1366,surveyed
V100015566,56,2011,5,-23.6786111,-46.71980556,Guarapiranga Reservoir,Brazil,H0010363,NA,Lake4100,surveyed
V100015569,56,2012,1,-23.6786111,-46.71980556,Guarapiranga Reservoir,Brazil,H0010363,NA,Lake4100,surveyed
V100015565,56,2011,5,-23.7692778,-46.53330556,Billings Reservoir,Brazil,H0010364,NA,Lake4101,surveyed
V100015568,56,2012,1,-23.7692778,-46.53330556,Billings Reservoir,Brazil,H0010364,NA,Lake4101,surveyed
V100015567,56,2011,5,-23.3660833,-46.66866667,Paiva Castro Reservoir,Brazil,H0120888,NA,Lake5549,surveyed
V100015570,56,2012,1,-23.3660833,-46.66866667,Paiva Castro Reservoir,Brazil,H0120888,NA,Lake5549,surveyed
V100015564,59,2014,,32.1911926,35.8191331,King Talal Reservoir Dam,Jordan,H0175334,NA,Lake5684,surveyed
